emp_no,first_name,last_name,from_date,salary,title,to_date
68293,Faiza,Mateescu,1987-09-20,40000,Senior Engineer,9999-01-01
68313,Rosalie,Ferriere,1992-07-20,40000,Senior Engineer,9999-01-01
68321,Aris,Harbusch,1986-09-22,40000,Senior Engineer,9999-01-01
68350,Arve,Speckmann,1985-02-28,40000,Senior Engineer,9999-01-01
68367,Emdad,Vandervoorde,1989-02-27,55259,Senior Staff,9999-01-01
68381,Stabislas,Hasham,1985-03-11,57399,Senior Staff,9999-01-01
68407,Jahangir,Peternell,1988-02-25,80397,Senior Staff,9999-01-01
68432,Tsuneo,Staylopatis,1987-11-20,90197,Senior Staff,9999-01-01
68433,Maya,Wossner,1991-08-24,75598,Senior Staff,9999-01-01
68454,Weicheng,Kampfer,1988-05-16,40000,Senior Engineer,9999-01-01
68478,Rutger,Plotkin,1988-08-20,40000,Senior Staff,9999-01-01
68499,Arfst,Bael,1985-11-16,74774,Senior Engineer,9999-01-01
68500,Leah,Stellhorn,1988-10-11,48903,Senior Staff,9999-01-01
68508,Annemarie,Swist,1985-06-06,40000,Senior Engineer,9999-01-01
68528,Sailaja,Ghalwash,1991-12-20,43894,Senior Engineer,9999-01-01
68536,Zorica,Perly,1999-04-24,53192,Engineer,9999-01-01
68538,Kwangjo,Velasco,1991-11-22,78262,Senior Staff,9999-01-01
68542,Licheng,Pollacia,1990-02-22,40000,Senior Engineer,9999-01-01
68550,Alper,Perin,1994-03-02,56706,Senior Engineer,9999-01-01
68552,Abdelkader,Gronowski,1997-03-13,40000,Senior Staff,9999-01-01
68568,Iara,Raney,1985-04-12,47903,Senior Staff,9999-01-01
68570,Kamakshi,Alvarado,1994-09-26,40000,Senior Staff,9999-01-01
68578,Weidon,Baranowski,1987-04-28,49093,Senior Engineer,9999-01-01
68585,Vatsa,Bail,1988-03-05,46172,Senior Staff,9999-01-01
68596,Sergi,Penz,1985-03-23,40000,Senior Staff,9999-01-01
68599,Alair,Zucker,1999-11-05,79116,Staff,9999-01-01
68603,Fabrizio,Rusterholz,1987-04-24,76040,Senior Staff,9999-01-01
68604,Kannan,Dymetman,1988-03-15,71311,Senior Staff,9999-01-01
68607,Xuejia,Zallocco,1999-01-09,58750,Senior Staff,9999-01-01
68626,Pragnesh,Schrift,1996-08-31,40000,Senior Engineer,9999-01-01
68642,Arvind,Jumpertz,1985-12-03,58286,Senior Staff,9999-01-01
68673,Elvia,Bale,1988-03-30,40000,Senior Engineer,9999-01-01
68679,Takahiro,Dredge,1995-11-22,40000,Staff,9999-01-01
68690,Elgin,Juneja,1986-04-04,41653,Senior Engineer,9999-01-01
68692,Behnaam,Monarch,1988-07-02,40783,Senior Engineer,9999-01-01
68699,Harjit,Baby,1993-07-03,46009,Senior Staff,9999-01-01
68705,Arunas,Ferretti,1995-01-05,66448,Senior Engineer,9999-01-01
68709,Marke,Zaccaria,1986-06-30,40000,Senior Engineer,9999-01-01
68714,Alselm,Nishimukai,1989-09-25,51121,Technique Leader,9999-01-01
68717,Yishai,Chenoweth,1986-10-22,42754,Senior Engineer,9999-01-01
68744,Khedija,Spelt,1987-10-25,45303,Senior Engineer,9999-01-01
68747,Chikara,Binkley,1999-05-24,40000,Engineer,9999-01-01
68756,Jayesh,Syang,1990-04-22,40000,Senior Staff,9999-01-01
68761,Rasikan,Zuberek,1995-10-18,56609,Staff,9999-01-01
68769,Gill,Akaboshi,1986-01-29,65192,Senior Staff,9999-01-01
68770,Perla,Lunn,1987-04-14,40000,Senior Staff,9999-01-01
68773,Hugo,Isaac,1991-01-12,51685,Senior Engineer,9999-01-01
68780,Berni,Itschner,1988-11-11,40000,Technique Leader,9999-01-01
68788,Reuven,Kaiser,1987-01-20,50886,Senior Engineer,9999-01-01
68798,Theirry,Murtagh,1986-11-30,40000,Senior Engineer,9999-01-01
68801,Ymte,Ramsay,1986-04-09,40000,Senior Engineer,9999-01-01
68808,Morrie,Beerel,1988-12-11,40000,Senior Engineer,9999-01-01
68809,Oldrich,Menhardt,1996-04-06,62793,Senior Staff,9999-01-01
68839,Shuky,Famili,1985-12-06,65014,Senior Staff,9999-01-01
68840,Quingbo,Nourani,1987-12-23,40205,Senior Staff,9999-01-01
68843,Yucel,Kalafatis,1988-08-27,65079,Senior Staff,9999-01-01
68862,Christoper,Schonegge,1997-12-21,40000,Engineer,9999-01-01
68872,Dzung,Munro,1993-06-12,59621,Senior Staff,9999-01-01
68880,Elvis,Assaf,1986-09-27,88365,Senior Staff,9999-01-01
68890,Mantis,Baer,1987-12-11,94575,Senior Staff,9999-01-01
68895,Suvo,Senzako,1995-10-02,42830,Senior Staff,9999-01-01
68900,Pohua,Sevcikova,1989-02-26,40000,Senior Engineer,9999-01-01
68901,Aron,Gilg,1985-03-06,40000,Technique Leader,9999-01-01
68909,Jayson,Rajcani,1988-10-29,40000,Senior Engineer,9999-01-01
68910,Basim,Maccarone,1996-12-30,79321,Senior Staff,9999-01-01
68911,Francoise,Ratzlaff,1989-09-08,55613,Senior Engineer,9999-01-01
68913,Tayeb,Seuren,1993-04-11,40000,Senior Staff,9999-01-01
68914,Subhankar,Hebert,1986-03-25,43813,Senior Staff,9999-01-01
68917,Menkae,Peot,1985-02-28,52764,Senior Engineer,9999-01-01
68919,Licheng,Aamodt,1995-05-30,40000,Engineer,9999-01-01
68940,Froduald,Garrabrants,1988-07-20,63903,Senior Staff,9999-01-01
68947,Toshimo,Bergere,1987-04-04,74667,Senior Staff,9999-01-01
68951,Shichao,Leppanen,1990-05-30,73533,Senior Engineer,9999-01-01
68964,Fai,Francisci,1985-09-12,60946,Senior Engineer,9999-01-01
68966,Shuho,Carrera,1992-05-14,49407,Senior Staff,9999-01-01
68978,Rildo,Dalton,1986-04-13,40000,Senior Staff,9999-01-01
68998,Remko,Serra,1987-04-05,40000,Senior Engineer,9999-01-01
69007,Brewster,McAffer,1996-10-17,48782,Staff,9999-01-01
69014,Xuejun,Chenney,1986-10-30,43889,Senior Engineer,9999-01-01
69019,Valdiodio,Rothenberg,1999-05-03,66458,Staff,9999-01-01
69020,Udo,Masaki,1994-01-18,49799,Senior Engineer,9999-01-01
69022,Kendra,Benzmuller,1996-07-17,67026,Senior Staff,9999-01-01
69027,Make,Gihr,1991-12-22,53717,Senior Staff,9999-01-01
69032,Dhritiman,Mawatari,1987-02-20,51396,Technique Leader,9999-01-01
69050,Nidapan,Anily,1991-04-20,68511,Senior Staff,9999-01-01
69064,Alair,Babb,1985-04-23,40445,Senior Engineer,9999-01-01
69084,Kazuhisa,Thisen,1985-07-06,55971,Senior Staff,9999-01-01
69092,Sreenivas,Denna,1997-05-05,40000,Engineer,9999-01-01
69118,Irena,Lakshmanan,1990-07-24,63488,Senior Staff,9999-01-01
69122,Weiwu,Templeman,1985-05-08,40000,Senior Staff,9999-01-01
69131,Shuzo,Hebert,1993-12-13,40545,Senior Staff,9999-01-01
69136,Younwoo,Busillo,1994-07-30,52907,Senior Engineer,9999-01-01
69166,Bernd,Chiodo,1990-07-31,45681,Senior Staff,9999-01-01
69173,Georgy,Adachi,1994-10-08,40000,Senior Staff,9999-01-01
69177,Shan,Marchegay,1985-04-15,47059,Technique Leader,9999-01-01
69181,Toshiko,Schiper,1985-06-15,71449,Senior Staff,9999-01-01
69206,Bojan,Melichar,1989-06-15,40000,Senior Engineer,9999-01-01
69217,Atreyi,Brandsma,1987-11-07,66959,Senior Engineer,9999-01-01
69222,Elliott,Llado,1985-11-30,43906,Senior Engineer,9999-01-01
69226,Reinhold,Wursthorn,1985-03-18,40000,Senior Engineer,9999-01-01
69228,Urs,Shimshoni,1988-10-09,48344,Senior Engineer,9999-01-01
69230,Florian,Pews,1988-07-18,56164,Senior Engineer,9999-01-01
69246,Yonghoan,Maksimenko,1994-03-13,56083,Senior Engineer,9999-01-01
69263,Sreekrishna,Iisaku,1987-08-23,53738,Senior Engineer,9999-01-01
69271,Debatosh,Zyda,1988-11-20,61650,Senior Engineer,9999-01-01
69287,Frazer,Luders,1994-01-28,40000,Technique Leader,9999-01-01
69297,Fei,Range,1986-11-09,57158,Senior Engineer,9999-01-01
69316,Paraskevi,Radhakrishnan,1988-06-19,40000,Senior Engineer,9999-01-01
69325,Pranas,Dredge,1989-03-02,40000,Senior Staff,9999-01-01
69333,Jianhao,Zirintsis,1993-02-05,47935,Senior Engineer,9999-01-01
69355,Dmitry,Borovoy,1986-05-26,63416,Technique Leader,9999-01-01
69360,Lenore,Hanratty,1986-06-08,45273,Senior Engineer,9999-01-01
69366,Georg,Schrift,1988-10-11,52943,Technique Leader,9999-01-01
69387,Danny,Mitsuhashi,1989-10-13,40457,Senior Engineer,9999-01-01
69405,Lijia,Heping,1985-02-04,40000,Senior Staff,9999-01-01
69418,Jixiang,Steinauer,1999-04-16,51844,Senior Staff,9999-01-01
69421,Nahla,Clemencon,1987-06-11,45226,Senior Staff,9999-01-01
69425,Kristen,Orsini,1990-07-02,45817,Senior Engineer,9999-01-01
69428,Dzung,Shimshoni,1988-03-10,41115,Senior Staff,9999-01-01
69445,Gift,Puppo,1985-09-08,54958,Senior Staff,9999-01-01
69446,Pranay,Melter,1994-08-01,57776,Senior Engineer,9999-01-01
69455,Radhakrishnan,Nastansky,1985-03-02,51196,Senior Engineer,9999-01-01
69493,Odoardo,Greibach,1992-02-25,63607,Engineer,9999-01-01
69506,Marke,Cappelletti,1988-10-20,41165,Senior Engineer,9999-01-01
69507,Alassane,Weedon,1985-04-05,78294,Senior Staff,9999-01-01
69524,Leon,Vrecion,1998-12-23,40000,Engineer,9999-01-01
69544,Flemming,Falster,1986-02-18,54478,Senior Staff,9999-01-01
69555,Golgen,Sabnani,1996-02-07,74734,Senior Staff,9999-01-01
69562,Tua,Haumacher,1999-05-06,48325,Engineer,9999-01-01
69570,Katsuyuki,Reinhart,1992-10-29,52654,Senior Engineer,9999-01-01
69578,Shim,Sewelson,1985-08-24,94930,Senior Staff,9999-01-01
69582,Pragnesh,Hofstetter,1997-10-08,40000,Senior Staff,9999-01-01
69598,Elvis,Hofstetter,1998-08-01,55656,Engineer,9999-01-01
69601,Sachar,Lieblein,1985-10-09,50927,Senior Staff,9999-01-01
69602,Naftaly,Litzkow,1998-06-02,42211,Staff,9999-01-01
69607,Candido,Parhami,1995-08-05,40000,Staff,9999-01-01
69613,Gay,Tsukuda,1998-09-16,56822,Staff,9999-01-01
69621,Atilio,Takkinen,1985-11-25,46624,Senior Engineer,9999-01-01
69625,Remmert,Taneja,1998-10-05,85397,Staff,9999-01-01
69632,Limsoon,Nations,1988-08-06,51890,Senior Engineer,9999-01-01
69635,Djelloul,Garrabrants,1986-08-01,40000,Technique Leader,9999-01-01
69637,Tse,Basart,1987-11-02,60389,Senior Staff,9999-01-01
69639,Christoper,Picci,1988-06-02,40000,Senior Engineer,9999-01-01
69647,Deborah,Pileggi,1996-07-02,64210,Senior Staff,9999-01-01
69651,Divier,Decaestecker,1989-08-30,53583,Senior Staff,9999-01-01
69652,Josyula,Oehlmann,1986-11-12,44365,Senior Engineer,9999-01-01
69654,Paris,Hofman,1993-09-24,61823,Senior Engineer,9999-01-01
69665,Uzi,Fioravanti,1985-09-20,94554,Senior Staff,9999-01-01
69670,Phillip,Limongiello,1985-09-05,40000,Senior Staff,9999-01-01
69676,Shin,Henseler,1988-04-04,46754,Senior Engineer,9999-01-01
69682,Gor,Siksek,1998-07-06,40000,Engineer,9999-01-01
69687,Oksana,Minakawa,1985-04-19,40000,Senior Engineer,9999-01-01
69688,Kazuyasu,Skogmar,1987-09-30,41985,Senior Staff,9999-01-01
69697,Zengping,Nourani,1987-04-09,52198,Senior Engineer,9999-01-01
69714,Anneke,Kavvadias,1992-06-14,56682,Technique Leader,9999-01-01
69717,Boalin,Gecsei,1996-12-10,64475,Staff,9999-01-01
69732,Vitaly,Maraist,1994-07-20,60850,Senior Staff,9999-01-01
69737,Sarita,Conta,1985-06-12,40000,Senior Staff,9999-01-01
69758,Arup,Yurov,1987-10-15,40000,Senior Engineer,9999-01-01
69767,Nakhoon,Glowinski,1996-02-21,40000,Engineer,9999-01-01
69771,Chaitali,Ibel,1987-02-15,48930,Senior Staff,9999-01-01
69773,Elzbieta,Kisuki,1998-08-23,62452,Technique Leader,9999-01-01
69790,Werner,Leslie,1993-05-15,47137,Senior Staff,9999-01-01
69807,Olivera,Emmerich,1986-10-26,49668,Senior Staff,9999-01-01
69821,Francoise,Birdsall,1986-12-10,63360,Senior Engineer,9999-01-01
69829,Akhilish,Koprowski,1990-05-27,60061,Senior Engineer,9999-01-01
69835,Deborah,Birdsall,1987-05-04,40000,Senior Engineer,9999-01-01
69845,Kinh,Tanemo,1996-04-15,40915,Senior Engineer,9999-01-01
69874,Doohun,Menyhert,1991-01-22,48291,Technique Leader,9999-01-01
69888,Billur,Speel,1988-06-06,61912,Technique Leader,9999-01-01
69897,Stamatina,Kamber,1985-11-11,69176,Senior Staff,9999-01-01
69928,Abdelkader,Nourani,1995-04-10,40000,Senior Staff,9999-01-01
69932,Surveyors,Stenning,1998-08-18,60208,Engineer,9999-01-01
69940,Gonzalo,Mattern,1998-02-04,55119,Staff,9999-01-01
69946,Theirry,Varker,1995-10-14,59124,Engineer,9999-01-01
69960,Lein,Sooriamurthi,1989-07-22,60283,Senior Engineer,9999-01-01
69982,Sanjoy,Lindqvist,1985-04-26,64773,Senior Staff,9999-01-01
69987,Shem,Collette,1986-10-08,48372,Senior Staff,9999-01-01
69993,Anwar,Silva,2000-01-25,92674,Staff,9999-01-01
70004,Shih,VanScheik,1985-04-15,40000,Senior Staff,9999-01-01
70023,Bodh,Plotkin,1990-03-14,55500,Senior Engineer,9999-01-01
70027,Manton,Schieder,1995-04-05,68244,Engineer,9999-01-01
70032,Guttorm,Oppitz,1987-08-25,40000,Senior Staff,9999-01-01
70040,Along,Montemayor,1985-12-07,40000,Senior Engineer,9999-01-01
70049,Dipankar,Domenig,1988-05-31,69502,Senior Engineer,9999-01-01
70059,Valeri,Tiemann,1986-09-26,53435,Senior Staff,9999-01-01
70068,Noritoshi,Beidas,1992-01-19,40000,Senior Staff,9999-01-01
70077,Vesna,Panienski,1987-02-06,64626,Technique Leader,9999-01-01
70087,Ronghao,Lemarechal,1987-07-18,99976,Senior Staff,9999-01-01
70090,Oldrich,Anandan,1993-03-06,49598,Senior Staff,9999-01-01
70091,Vasilii,Haldar,1992-11-01,54441,Senior Staff,9999-01-01
70105,Van,Hardjono,1994-04-26,40000,Senior Engineer,9999-01-01
70117,Arie,Bail,1998-05-31,40848,Engineer,9999-01-01
70132,Gal,Manders,1997-07-18,95614,Staff,9999-01-01
70146,Tiina,Atrawala,1985-07-19,40000,Senior Engineer,9999-01-01
70162,Danai,Wrigley,1987-09-30,46920,Senior Engineer,9999-01-01
70164,Ult,Bergere,1993-05-20,52833,Senior Engineer,9999-01-01
70171,Sadun,Himler,1988-02-07,57201,Senior Engineer,9999-01-01
70172,Toshimo,Beerel,1987-02-16,40000,Senior Engineer,9999-01-01
70180,Renee,Cichocki,1986-12-29,92488,Senior Staff,9999-01-01
70190,Zeljko,Luiz,1987-10-22,45201,Technique Leader,9999-01-01
70197,Nishit,Fritzsche,1988-06-10,40000,Senior Engineer,9999-01-01
70217,Aksel,Iivonen,1993-12-07,42181,Senior Staff,9999-01-01
70218,Stabislas,Luga,1986-05-28,47206,Senior Staff,9999-01-01
70219,Ramzi,Suessmith,1987-07-14,40000,Senior Engineer,9999-01-01
70239,Cedric,McFarlin,1985-12-10,40000,Senior Engineer,9999-01-01
70250,Erez,Arlazarov,1997-08-24,57701,Staff,9999-01-01
70270,Zsolt,Cusworth,1989-12-02,50362,Senior Engineer,9999-01-01
70287,Nimmagadda,McConalogue,1987-04-30,73983,Senior Staff,9999-01-01
70296,Nalini,Vadhan,1985-08-12,55852,Senior Engineer,9999-01-01
70310,Neven,Ranai,1996-08-03,56415,Staff,9999-01-01
70311,Abdelaziz,Kugler,1987-02-16,40000,Senior Staff,9999-01-01
70350,Kwun,Swen,1988-12-30,40000,Senior Staff,9999-01-01
70354,Minghong,Gammage,1997-10-14,53220,Engineer,9999-01-01
70374,Girolamo,Macedo,1985-12-09,41652,Senior Engineer,9999-01-01
70380,Alassane,Denos,1994-12-18,73598,Senior Staff,9999-01-01
70386,Guiseppe,Mamelak,1985-11-27,69504,Senior Engineer,9999-01-01
70400,Srinidhi,Lorcy,1986-01-29,44349,Senior Staff,9999-01-01
70421,Amstein,Birke,1987-12-23,40000,Senior Engineer,9999-01-01
70422,Zine,Krichel,1994-03-19,40000,Senior Engineer,9999-01-01
70425,Mechthild,Businaro,1988-01-10,72233,Senior Staff,9999-01-01
70426,Gilbert,Hanratty,1988-01-12,51517,Senior Engineer,9999-01-01
70465,Kien,Ligten,1987-06-10,45067,Senior Engineer,9999-01-01
70478,Basil,Peac,1985-06-13,73943,Senior Engineer,9999-01-01
70485,Sachio,Mondadori,1985-08-21,47724,Senior Engineer,9999-01-01
70502,Jiann,Weedon,1986-09-15,69595,Senior Staff,9999-01-01
70514,Christoper,Highland,1988-01-22,40000,Senior Engineer,9999-01-01
70516,Danny,Mamelak,1988-11-20,47946,Senior Staff,9999-01-01
70519,Mohammad,Aingworth,1989-08-16,40000,Senior Engineer,9999-01-01
70528,Khun,Gimarc,1996-11-01,40000,Staff,9999-01-01
70530,Qunsheng,Stille,1992-05-02,40000,Senior Engineer,9999-01-01
70535,Dante,Speel,1999-02-07,66634,Staff,9999-01-01
70540,Vasilis,Ullian,1988-01-30,40000,Senior Staff,9999-01-01
70550,Maren,Ressouche,1991-02-02,52105,Senior Staff,9999-01-01
70563,Naraig,Klerer,1998-10-19,51917,Staff,9999-01-01
70564,Supot,Chiola,1986-03-05,43784,Senior Engineer,9999-01-01
70565,Fumiya,Bergere,1989-04-14,71073,Senior Engineer,9999-01-01
70571,Randy,Sooriamurthi,1987-09-17,70241,Senior Staff,9999-01-01
70573,Janalee,Chachaty,1996-05-04,40000,Senior Staff,9999-01-01
70579,Seshu,Polajnar,1998-06-07,40000,Engineer,9999-01-01
70584,Arun,Flasterstein,1995-03-01,48182,Senior Engineer,9999-01-01
70602,Hongzhu,Maquelin,1993-07-18,40000,Senior Engineer,9999-01-01
70614,Nevio,Furedi,1985-04-12,41854,Senior Engineer,9999-01-01
70629,Shay,DiGiano,1988-12-27,67352,Senior Staff,9999-01-01
70659,Kauko,Domenig,1986-05-08,72170,Senior Staff,9999-01-01
70661,Leni,Bernardinello,1990-08-02,42872,Senior Engineer,9999-01-01
70666,Ronghao,Veeraraghavan,1988-06-10,73226,Senior Staff,9999-01-01
70675,Edwin,Avouris,1991-06-03,74785,Senior Staff,9999-01-01
70679,Aluzio,Hagimont,1992-04-18,40000,Senior Staff,9999-01-01
70720,Hidefumi,Denny,1988-07-14,45176,Senior Staff,9999-01-01
70722,Maren,Sudbeck,1988-09-02,54960,Senior Staff,9999-01-01
70735,Shaowei,Spataro,1990-10-08,58619,Engineer,9999-01-01
70738,Shaleah,Kemmerer,1994-03-09,40000,Staff,9999-01-01
70739,Przemyslawa,Kakkar,1998-08-29,86752,Staff,9999-01-01
70743,Matk,Genin,1994-06-20,42520,Engineer,9999-01-01
70751,Danil,Heusch,1991-08-08,43677,Senior Engineer,9999-01-01
70752,Vugranam,Chiola,1990-10-13,49152,Senior Engineer,9999-01-01
70763,Jahangir,Lorch,1985-07-08,48966,Senior Engineer,9999-01-01
70767,Hinrich,Gewali,1999-12-02,47511,Engineer,9999-01-01
70785,Jiakeng,Swan,1987-05-16,66286,Senior Engineer,9999-01-01
70787,Reinhard,Masaki,1985-10-17,51605,Senior Staff,9999-01-01
70791,Aamod,Avouris,1989-09-24,51105,Senior Engineer,9999-01-01
70797,Alejandro,Tiemann,1987-08-28,59670,Senior Engineer,9999-01-01
70809,Premal,Welham,1992-08-16,41873,Senior Engineer,9999-01-01
70810,Vishwani,Brodal,1995-01-05,40000,Senior Staff,9999-01-01
70824,Kauko,Mawatari,1990-10-22,57491,Senior Staff,9999-01-01
70830,Jiakeng,Maksimenko,1986-08-19,40000,Senior Staff,9999-01-01
70877,Prasadram,Weiland,1994-03-06,50487,Engineer,9999-01-01
70887,Tsutomu,Bratten,1987-02-09,60059,Technique Leader,9999-01-01
70898,Ranan,Radhakrishnan,1987-01-01,55809,Senior Engineer,9999-01-01
70914,Dinah,Antonisse,1988-07-10,72054,Senior Staff,9999-01-01
70919,Anwar,Casley,1986-10-06,51782,Senior Engineer,9999-01-01
70956,Almudena,Genther,1985-10-05,50155,Senior Engineer,9999-01-01
70964,Berhard,Seghrouchni,1988-06-23,40000,Technique Leader,9999-01-01
70970,Yuuichi,Vesna,1986-03-31,48253,Senior Engineer,9999-01-01
70982,Rasikan,Kamber,1999-02-09,40000,Engineer,9999-01-01
71041,Frazer,Borovoy,1988-11-24,47442,Senior Engineer,9999-01-01
71057,Christfried,Orsini,1985-02-12,101420,Senior Staff,9999-01-01
71060,Suebskul,Tokunaga,1990-12-02,60131,Senior Staff,9999-01-01
71076,Huei,Rosca,1987-08-22,57052,Senior Staff,9999-01-01
71099,Adly,Azevdeo,1986-07-03,40000,Senior Engineer,9999-01-01
71100,Taisook,Karnin,1986-01-07,45296,Engineer,9999-01-01
71102,Indrajit,Juneja,1997-11-23,40000,Staff,9999-01-01
71113,Anwar,Atrawala,1986-06-06,40000,Senior Staff,9999-01-01
71114,Jagoda,Kakkar,1988-08-01,44737,Senior Engineer,9999-01-01
71118,Chirstian,Tasistro,1985-08-07,72570,Senior Staff,9999-01-01
71120,Kerryn,Marchegay,1998-04-26,40000,Staff,9999-01-01
71121,Aris,Atrawala,1997-11-19,40000,Staff,9999-01-01
71127,Annemarie,Belinskaya,1993-10-16,43847,Staff,9999-01-01
71128,Selwyn,Dolinsky,1989-08-23,48269,Senior Engineer,9999-01-01
71130,Khalid,Jervis,1991-04-01,50797,Senior Engineer,9999-01-01
71167,Sham,Gimbel,1990-11-07,49432,Senior Staff,9999-01-01
71194,Fox,Lampe,1985-05-21,57280,Senior Engineer,9999-01-01
71214,Kiyomitsu,Toyoshima,1987-01-19,44791,Senior Engineer,9999-01-01
71220,Nadjib,Peek,1990-07-11,57703,Senior Engineer,9999-01-01
71246,Toshimitsu,Paludetto,1992-01-11,74992,Senior Staff,9999-01-01
71255,Mrinalini,Halloran,1992-03-30,40000,Senior Engineer,9999-01-01
71262,Shigenori,Vecchio,1997-06-11,40000,Staff,9999-01-01
71263,Suvo,Farrar,1989-03-13,40491,Senior Staff,9999-01-01
71268,Remko,Dalphin,1985-03-01,73530,Senior Staff,9999-01-01
71270,Saeko,Crooks,1987-05-28,47347,Senior Staff,9999-01-01
71300,Deborah,Beilner,1986-09-18,51618,Senior Staff,9999-01-01
71302,Zhenbing,Heiserman,1993-01-20,64704,Senior Engineer,9999-01-01
71307,Tadahiro,Bade,1986-04-24,51158,Senior Staff,9999-01-01
71320,Xuejia,Caine,1985-05-25,40000,Senior Staff,9999-01-01
71323,Shunichi,Brizzi,1987-07-20,40000,Engineer,9999-01-01
71341,Seongbin,Tetzlaff,1988-04-29,40000,Engineer,9999-01-01
71351,Otmar,Guerreiro,1993-09-23,62773,Senior Staff,9999-01-01
71362,Cathie,Mellouli,1987-12-20,57793,Senior Staff,9999-01-01
71365,Remzi,Bratsberg,1992-06-09,42694,Senior Engineer,9999-01-01
71375,Masoud,Khamsi,1988-12-23,80332,Senior Staff,9999-01-01
71383,Vidya,Ohori,1986-05-30,40000,Senior Staff,9999-01-01
71391,Youjian,Morris,1994-11-13,40000,Senior Staff,9999-01-01
71398,Sanjeeva,Krohn,1985-08-30,60539,Senior Staff,9999-01-01
71399,Kasturi,Rodier,1988-06-14,59780,Senior Engineer,9999-01-01
71405,Shuzo,Miake,1985-05-05,40000,Senior Engineer,9999-01-01
71416,Jayson,Demir,1993-02-02,40000,Senior Engineer,9999-01-01
71420,Oksana,Schnelling,1987-02-20,48164,Engineer,9999-01-01
71424,Vishu,Kroha,1999-08-07,40000,Senior Engineer,9999-01-01
71451,Munenori,Chelton,1989-10-18,77024,Senior Staff,9999-01-01
71458,Kazuhiro,Welham,1995-03-23,40000,Senior Engineer,9999-01-01
71463,Ferdinand,Lagarias,1996-10-29,40000,Staff,9999-01-01
71471,Bernice,Peak,1998-02-14,50095,Engineer,9999-01-01
71472,Bingning,Irland,1986-04-26,41419,Technique Leader,9999-01-01
71478,Margo,Schahn,1993-10-15,63822,Senior Staff,9999-01-01
71490,Yannis,Vieri,1995-04-18,63239,Senior Staff,9999-01-01
71501,Nagui,Yurek,1987-06-12,40000,Senior Engineer,9999-01-01
71503,Chinhyun,Plumb,1987-12-08,69799,Senior Staff,9999-01-01
71509,Ioana,Feinberg,1988-01-29,49888,Senior Engineer,9999-01-01
71522,Randi,Flasterstein,1987-07-28,40000,Senior Engineer,9999-01-01
71528,Marjo,Deverell,1997-10-07,48609,Engineer,9999-01-01
71535,Cristinel,Falco,1987-03-14,40000,Engineer,9999-01-01
71541,Kwangsub,Chartres,1985-12-31,70697,Senior Staff,9999-01-01
71545,Denny,Nittel,1995-04-07,47637,Senior Staff,9999-01-01
71586,Jianwen,Cannard,1985-10-02,58628,Senior Staff,9999-01-01
71588,Junichi,Colorni,1992-08-24,66211,Senior Staff,9999-01-01
71590,Irene,Beerel,1988-08-17,40000,Senior Engineer,9999-01-01
71592,Kitty,Rusterholz,1994-04-19,40000,Senior Staff,9999-01-01
71598,Jianhua,Osgood,1987-10-06,67264,Senior Staff,9999-01-01
71603,Susanta,Hanratty,1988-10-09,40000,Senior Staff,9999-01-01
71609,Berthier,Manderick,1985-04-10,40000,Senior Staff,9999-01-01
71627,Aria,Ranta,1986-04-24,44908,Senior Staff,9999-01-01
71644,Bogdan,Azuma,1985-05-03,40000,Senior Staff,9999-01-01
71674,Udo,Huxford,1987-12-24,40000,Senior Engineer,9999-01-01
71678,Kiyokazu,Schapire,1986-02-08,40000,Senior Engineer,9999-01-01
71683,Sastry,Hedayat,1995-02-21,40000,Engineer,9999-01-01
71690,Annemarie,Steinauer,1991-10-26,40000,Senior Engineer,9999-01-01
71699,Ingemar,Tramer,1992-03-05,57349,Senior Staff,9999-01-01
71706,Van,Murtha,1986-02-04,40000,Technique Leader,9999-01-01
71715,Eberhardt,Niizuma,1985-08-19,70566,Senior Staff,9999-01-01
71722,Marco,Lally,1988-08-16,40000,Senior Engineer,9999-01-01
71725,Kannan,Yurek,1995-09-27,40000,Engineer,9999-01-01
71729,Jongsuk,Rosch,1986-04-04,44787,Technique Leader,9999-01-01
71732,Arra,Highland,1997-08-14,50205,Engineer,9999-01-01
71750,Berhard,Eppinger,1988-08-04,40000,Senior Engineer,9999-01-01
71754,Leen,Hebden,1992-03-04,44476,Senior Engineer,9999-01-01
71758,Munehiko,Frijda,1988-08-08,47473,Senior Engineer,9999-01-01
71773,Leen,Ebeling,1985-12-29,57105,Senior Staff,9999-01-01
71779,Hironoby,Cooman,1996-08-30,69098,Engineer,9999-01-01
71780,DeForest,Honglei,1986-12-28,48508,Senior Engineer,9999-01-01
71788,Reinhard,Verspoor,1996-08-22,40000,Senior Staff,9999-01-01
71791,Bedrich,Lalonde,1994-03-04,47195,Senior Engineer,9999-01-01
71796,Magdalena,Rijckaert,1999-09-13,59330,Staff,9999-01-01
71810,Hideo,Ertl,1988-12-30,75775,Senior Staff,9999-01-01
71812,Younwoo,Cooman,1986-04-10,60363,Senior Staff,9999-01-01
71823,Kasidit,Linnainmaa,1987-03-04,44612,Technique Leader,9999-01-01
71826,Chandrasekaran,Brickell,1990-11-09,74771,Senior Staff,9999-01-01
71837,Munehiro,Babb,1989-09-06,46476,Senior Engineer,9999-01-01
71839,Owen,Hasenauer,1998-02-17,40000,Engineer,9999-01-01
